"","InsiderID","NodeCount","EdgeCount","outlierscore"
"1",73728,2,1,0.0132478955922178
"2",98307,2,1,0.0132478955922178
"3",90114,2,1,0.0132478955922178
"4",81927,2,1,0.0132478955922178
"5",81929,3,2,0.270895239338867
"6",90120,2,1,0.0132478955922178
"7",98312,2,1,0.0132478955922178
"8",106512,5,10,0.484627310596291
"9",98333,2,1,0.0132478955922178
"10",90144,5,10,0.484627310596291
"11",73767,4,4,0.395403019854063
"12",90162,4,6,0.342847336531549
"13",98354,2,1,0.0132478955922178
"14",90164,2,1,0.0132478955922178
"15",98356,2,1,0.0132478955922178
"16",73784,2,1,0.0132478955922178
"17",114747,2,1,0.0132478955922178
"18",73788,2,1,0.0132478955922178
"19",114751,4,6,0.342847336531549
"20",114750,4,6,0.342847336531549
"21",114752,4,6,0.342847336531549
"22",73794,2,1,0.0132478955922178
"23",81989,2,1,0.0132478955922178
"24",73801,5,10,0.484627310596291
"25",90187,3,3,0.163469870534701
"26",73804,5,10,0.484627310596291
"27",73815,11,47,0.814033008546387
"28",73819,2,1,0.0132478955922178
"29",73820,2,1,0.0132478955922178
"30",98401,6,14,0.36964874145075
"31",106595,2,1,0.0132478955922178
"32",106597,2,1,0.0132478955922178
"33",106596,2,1,0.0132478955922178
"34",114788,2,1,0.0132478955922178
"35",73831,3,3,0.163469870534701
"36",106598,2,1,0.0132478955922178
"37",73830,2,1,0.0132478955922178
"38",98408,3,3,0.163469870534701
"39",73832,4,4,0.395403019854063
"40",73835,2,1,0.0132478955922178
"41",73834,3,3,0.163469870534701
"42",90218,2,1,0.0132478955922178
"43",98410,2,1,0.0132478955922178
"44",82028,2,1,0.0132478955922178
"45",98419,2,1,0.0132478955922178
"46",73842,3,3,0.163469870534701
"47",98418,2,1,0.0132478955922178
"48",73845,9,15,2.74694690975283
"49",98423,4,6,0.342847336531549
"50",98427,4,6,0.342847336531549
"51",82043,13,61,1.47891216443194
"52",106620,2,1,0.0132478955922178
"53",82044,9,36,0.722213720613381
"54",98434,2,1,0.0132478955922178
"55",98437,2,1,0.0132478955922178
"56",73865,7,21,0.658629462786714
"57",114825,2,1,0.0132478955922178
"58",82058,5,10,0.484627310596291
"59",90257,2,1,0.0132478955922178
"60",82068,2,1,0.0132478955922178
"61",82071,3,3,0.163469870534701
"62",82070,2,1,0.0132478955922178
"63",98461,2,1,0.0132478955922178
"64",73884,6,14,0.36964874145075
"65",82081,2,1,0.0132478955922178
"66",73893,3,3,0.163469870534701
"67",73892,4,6,0.342847336531549
"68",82095,2,1,0.0132478955922178
"69",82101,2,1,0.0132478955922178
"70",90295,4,4,0.395403019854063
"71",73910,5,7,0.46610850739657
"72",90294,2,1,0.0132478955922178
"73",73913,4,4,0.395403019854063
"74",82107,4,6,0.342847336531549
"75",106683,2,1,0.0132478955922178
"76",90299,2,1,0.0132478955922178
"77",90300,2,1,0.0132478955922178
"78",82108,4,5,0.0236143584974165
"79",82111,7,18,0.10224788937237
"80",90302,2,1,0.0132478955922178
"81",82112,4,6,0.342847336531549
"82",73920,4,6,0.342847336531549
"83",82117,4,6,0.342847336531549
"84",82119,3,3,0.163469870534701
"85",90311,5,10,0.484627310596291
"86",90310,2,1,0.0132478955922178
"87",73926,3,2,0.270895239338867
"88",73932,2,1,0.0132478955922178
"89",82127,2,1,0.0132478955922178
"90",73937,10,41,0.148704658771446
"91",98519,3,2,0.270895239338867
"92",98518,2,1,0.0132478955922178
"93",98521,9,36,0.722213720613381
"94",82136,2,1,0.0132478955922178
"95",82138,2,1,0.0132478955922178
"96",73948,3,2,0.270895239338867
"97",82140,2,1,0.0132478955922178
"98",98526,2,1,0.0132478955922178
"99",73959,8,20,0.947942290083885
"100",73961,9,23,1.44405481111499
"101",73962,5,10,0.484627310596291
"102",90348,3,3,0.163469870534701
"103",73964,9,23,1.44405481111499
"104",73971,7,21,0.658629462786714
"105",98547,5,10,0.484627310596291
"106",82164,7,13,1.11907166985822
"107",114935,3,3,0.163469870534701
"108",106744,2,1,0.0132478955922178
"109",73979,2,1,0.0132478955922178
"110",73981,6,15,0.587896186304555
"111",73984,5,7,0.46610850739657
"112",98562,2,1,0.0132478955922178
"113",73991,2,1,0.0132478955922178
"114",73993,2,1,0.0132478955922178
"115",90379,9,36,0.722213720613381
"116",90381,2,1,0.0132478955922178
"117",82191,3,3,0.163469870534701
"118",82192,4,6,0.342847336531549
"119",82197,3,3,0.163469870534701
"120",74015,2,1,0.0132478955922178
"121",90398,2,1,0.0132478955922178
"122",74018,4,6,0.342847336531549
"123",82213,5,7,0.46610850739657
"124",90404,3,3,0.163469870534701
"125",74025,8,28,0.702236747671066
"126",82217,3,3,0.163469870534701
"127",106795,4,5,0.0236143584974165
"128",82218,4,5,0.0236143584974165
"129",74028,5,6,0.753796672778697
"130",82225,7,21,0.658629462786714
"131",90427,5,7,0.46610850739657
"132",106813,2,1,0.0132478955922178
"133",82236,4,6,0.342847336531549
"134",74047,2,1,0.0132478955922178
"135",82243,5,10,0.484627310596291
"136",98626,5,10,0.484627310596291
"137",90436,2,1,0.0132478955922178
"138",74058,2,1,0.0132478955922178
"139",90445,2,1,0.0132478955922178
"140",98636,2,1,0.0132478955922178
"141",90447,6,15,0.587896186304555
"142",82255,2,1,0.0132478955922178
"143",90453,7,19,0.249968388265987
"144",90455,7,19,0.249968388265987
"145",90456,6,15,0.587896186304555
"146",90461,3,3,0.163469870534701
"147",90463,3,3,0.163469870534701
"148",98661,6,15,0.587896186304555
"149",90473,6,15,0.587896186304555
"150",90472,7,19,0.249968388265987
"151",106856,2,1,0.0132478955922178
"152",74091,2,1,0.0132478955922178
"153",90475,4,6,0.342847336531549
"154",82283,3,3,0.163469870534701
"155",74090,2,1,0.0132478955922178
"156",90474,2,1,0.0132478955922178
"157",106861,2,1,0.0132478955922178
