"","InsiderID","NodeCount","EdgeCount","outlierscore"
"1",73729,7,15,1.02339598551882
"2",81920,2,1,0.0225555699745597
"3",106499,9,36,0.0368479974634529
"4",106498,9,36,0.0368479974634529
"5",106501,9,36,0.0368479974634529
"6",106502,9,36,0.0368479974634529
"7",106505,9,36,0.0368479974634529
"8",106507,9,36,0.0368479974634529
"9",106506,9,36,0.0368479974634529
"10",73741,3,3,0.117283656975405
"11",114703,2,1,0.0225555699745597
"12",73743,3,3,0.117283656975405
"13",106510,7,21,0.338873066475602
"14",114705,2,1,0.0225555699745597
"15",81937,9,36,0.0368479974634529
"16",106513,7,21,0.338873066475602
"17",106512,6,13,0.287371965055505
"18",106515,7,21,0.338873066475602
"19",114707,2,1,0.0225555699745597
"20",106514,7,21,0.338873066475602
"21",114706,2,1,0.0225555699745597
"22",81941,9,36,0.0368479974634529
"23",114709,2,1,0.0225555699745597
"24",106517,7,21,0.338873066475602
"25",106516,7,21,0.338873066475602
"26",98327,8,28,0.253671637390348
"27",114710,2,1,0.0225555699745597
"28",98328,2,1,0.0225555699745597
"29",106523,2,1,0.0225555699745597
"30",90139,2,1,0.0225555699745597
"31",98330,8,28,0.253671637390348
"32",98333,2,1,0.0225555699745597
"33",98335,8,28,0.253671637390348
"34",73758,3,3,0.117283656975405
"35",98336,8,28,0.253671637390348
"36",98339,8,28,0.253671637390348
"37",98338,8,28,0.253671637390348
"38",98341,8,28,0.253671637390348
"39",73765,2,1,0.0225555699745597
"40",114731,2,1,0.0225555699745597
"41",90157,2,1,0.0225555699745597
"42",73775,2,1,0.0225555699745597
"43",114734,4,3,0.936049147574779
"44",98367,2,1,0.0225555699745597
"45",114751,4,6,0.244142754026732
"46",98366,3,3,0.117283656975405
"47",114750,4,6,0.244142754026732
"48",114752,4,6,0.244142754026732
"49",98371,2,1,0.0225555699745597
"50",114755,2,1,0.0225555699745597
"51",114754,2,1,0.0225555699745597
"52",81989,2,1,0.0225555699745597
"53",106564,6,15,0.357563629365218
"54",81993,2,1,0.0225555699745597
"55",81995,4,6,0.244142754026732
"56",90187,2,1,0.0225555699745597
"57",81994,2,1,0.0225555699745597
"58",106573,2,1,0.0225555699745597
"59",81996,4,6,0.244142754026732
"60",73804,2,1,0.0225555699745597
"61",106574,2,1,0.0225555699745597
"62",98385,2,1,0.0225555699745597
"63",73809,2,1,0.0225555699745597
"64",98389,2,1,0.0225555699745597
"65",73814,2,1,0.0225555699745597
"66",73819,2,1,0.0225555699745597
"67",73820,2,1,0.0225555699745597
"68",98401,4,6,0.244142754026732
"69",106595,2,1,0.0225555699745597
"70",106597,2,1,0.0225555699745597
"71",106596,2,1,0.0225555699745597
"72",106598,2,1,0.0225555699745597
"73",73830,4,3,0.936049147574779
"74",73832,2,1,0.0225555699745597
"75",73834,2,1,0.0225555699745597
"76",82029,2,1,0.0225555699745597
"77",90221,4,6,0.244142754026732
"78",82028,2,1,0.0225555699745597
"79",90224,2,1,0.0225555699745597
"80",98419,2,1,0.0225555699745597
"81",90226,2,1,0.0225555699745597
"82",98418,2,1,0.0225555699745597
"83",98420,4,6,0.244142754026732
"84",114804,3,2,0.321381679985193
"85",98423,3,3,0.117283656975405
"86",98426,2,1,0.0225555699745597
"87",106620,2,1,0.0225555699745597
"88",98431,2,1,0.0225555699745597
"89",82046,11,55,0.572481117846592
"90",82049,11,55,0.572481117846592
"91",82048,2,1,0.0225555699745597
"92",82050,3,2,0.321381679985193
"93",98434,2,1,0.0225555699745597
"94",98437,2,1,0.0225555699745597
"95",73863,3,3,0.117283656975405
"96",114823,2,1,0.0225555699745597
"97",114822,2,1,0.0225555699745597
"98",114825,2,1,0.0225555699745597
"99",82056,4,6,0.244142754026732
"100",82058,4,6,0.244142754026732
"101",82061,2,1,0.0225555699745597
"102",82065,4,6,0.244142754026732
"103",90257,2,1,0.0225555699745597
"104",98462,6,15,0.357563629365218
"105",82081,2,1,0.0225555699745597
"106",98475,2,1,0.0225555699745597
"107",98476,2,1,0.0225555699745597
"108",82095,2,1,0.0225555699745597
"109",106670,3,3,0.117283656975405
"110",114862,2,1,0.0225555699745597
"111",106673,3,3,0.117283656975405
"112",82097,4,6,0.244142754026732
"113",106672,3,3,0.117283656975405
"114",82098,12,66,0.797138539265792
"115",114873,2,1,0.0225555699745597
"116",114872,2,1,0.0225555699745597
"117",90299,2,1,0.0225555699745597
"118",114874,2,1,0.0225555699745597
"119",98493,6,15,0.357563629365218
"120",114877,2,1,0.0225555699745597
"121",90300,2,1,0.0225555699745597
"122",114876,2,1,0.0225555699745597
"123",114879,2,1,0.0225555699745597
"124",98494,6,15,0.357563629365218
"125",82112,2,1,0.0225555699745597
"126",73923,3,3,0.117283656975405
"127",98498,6,15,0.357563629365218
"128",73924,3,3,0.117283656975405
"129",82118,3,3,0.117283656975405
"130",90310,2,1,0.0225555699745597
"131",98505,6,15,0.357563629365218
"132",73929,3,3,0.117283656975405
"133",106699,6,15,0.357563629365218
"134",114893,4,6,0.244142754026732
"135",106701,6,15,0.357563629365218
"136",106700,6,15,0.357563629365218
"137",114895,4,6,0.244142754026732
"138",106702,6,15,0.357563629365218
"139",114897,4,6,0.244142754026732
"140",106707,6,15,0.357563629365218
"141",106709,6,15,0.357563629365218
"142",73940,2,1,0.0225555699745597
"143",82132,2,1,0.0225555699745597
"144",106708,2,1,0.0225555699745597
"145",98519,2,1,0.0225555699745597
"146",106710,6,15,0.357563629365218
"147",106713,6,15,0.357563629365218
"148",98521,2,1,0.0225555699745597
"149",106712,6,15,0.357563629365218
"150",82136,2,1,0.0225555699745597
"151",73947,2,1,0.0225555699745597
"152",106714,2,1,0.0225555699745597
"153",82140,2,1,0.0225555699745597
"154",106716,3,3,0.117283656975405
"155",82144,2,1,0.0225555699745597
"156",82147,2,1,0.0225555699745597
"157",114915,5,10,0.325174566221368
"158",106722,6,15,0.357563629365218
"159",114917,5,10,0.325174566221368
"160",82149,2,1,0.0225555699745597
"161",114916,5,10,0.325174566221368
"162",82152,3,3,0.117283656975405
"163",82158,2,1,0.0225555699745597
"164",73971,7,21,0.338873066475602
"165",106739,2,1,0.0225555699745597
"166",82179,2,1,0.0225555699745597
"167",82178,2,1,0.0225555699745597
"168",114955,3,3,0.117283656975405
"169",106763,3,3,0.117283656975405
"170",90381,2,1,0.0225555699745597
"171",98573,4,6,0.244142754026732
"172",114956,3,3,0.117283656975405
"173",82188,13,78,0.995155897216984
"174",82190,13,78,0.995155897216984
"175",82192,2,1,0.0225555699745597
"176",90389,4,6,0.244142754026732
"177",74007,2,1,0.0225555699745597
"178",90390,4,6,0.244142754026732
"179",82205,13,78,0.995155897216984
"180",98589,4,6,0.244142754026732
"181",82204,13,78,0.995155897216984
"182",98588,4,6,0.244142754026732
"183",82207,13,78,0.995155897216984
"184",74015,2,1,0.0225555699745597
"185",98590,4,6,0.244142754026732
"186",90398,3,3,0.117283656975405
"187",90403,8,28,0.253671637390348
"188",82210,13,78,0.995155897216984
"189",90404,3,3,0.117283656975405
"190",114985,17,136,1.6407726993022
"191",82216,3,3,0.117283656975405
"192",114984,17,136,1.6407726993022
"193",90411,8,28,0.253671637390348
"194",114987,2,1,0.0225555699745597
"195",90410,8,28,0.253671637390348
"196",114986,17,136,1.6407726993022
"197",74029,2,1,0.0225555699745597
"198",90413,8,28,0.253671637390348
"199",90412,8,28,0.253671637390348
"200",114988,17,136,1.6407726993022
"201",90415,8,28,0.253671637390348
"202",74030,2,1,0.0225555699745597
"203",90414,8,28,0.253671637390348
"204",90417,4,6,0.244142754026732
"205",90416,8,28,0.253671637390348
"206",114992,2,1,0.0225555699745597
"207",90419,2,1,0.0225555699745597
"208",114995,17,136,1.6407726993022
"209",82226,3,3,0.117283656975405
"210",90421,2,1,0.0225555699745597
"211",114997,17,136,1.6407726993022
"212",114998,17,136,1.6407726993022
"213",82235,5,10,0.325174566221368
"214",98618,3,3,0.117283656975405
"215",90426,4,6,0.244142754026732
"216",115002,17,136,1.6407726993022
"217",115005,17,136,1.6407726993022
"218",82236,3,3,0.117283656975405
"219",115004,17,136,1.6407726993022
"220",90431,3,3,0.117283656975405
"221",115007,17,136,1.6407726993022
"222",98622,2,1,0.0225555699745597
"223",115006,17,136,1.6407726993022
"224",115009,17,136,1.6407726993022
"225",90432,3,3,0.117283656975405
"226",115008,17,136,1.6407726993022
"227",82243,3,3,0.117283656975405
"228",98626,4,6,0.244142754026732
"229",115010,17,136,1.6407726993022
"230",90439,13,78,0.995155897216984
"231",106822,4,6,0.244142754026732
"232",115017,2,1,0.0225555699745597
"233",115016,2,1,0.0225555699745597
"234",90440,13,78,0.995155897216984
"235",90442,13,78,0.995155897216984
"236",98634,2,1,0.0225555699745597
"237",98636,2,1,0.0225555699745597
"238",98640,3,3,0.117283656975405
"239",106835,4,6,0.244142754026732
"240",106837,4,6,0.244142754026732
"241",90453,4,6,0.244142754026732
"242",106836,4,6,0.244142754026732
"243",98647,3,3,0.117283656975405
"244",82263,2,1,0.0225555699745597
"245",90455,5,8,0.348007518972655
"246",106838,4,6,0.244142754026732
"247",98646,3,3,0.117283656975405
"248",82264,2,1,0.0225555699745597
"249",90456,2,1,0.0225555699745597
"250",106851,2,1,0.0225555699745597
"251",98661,2,1,0.0225555699745597
"252",90473,2,1,0.0225555699745597
"253",115048,5,10,0.325174566221368
"254",82280,2,1,0.0225555699745597
"255",90472,5,8,0.348007518972655
"256",74091,2,1,0.0225555699745597
"257",115051,2,1,0.0225555699745597
"258",74090,2,1,0.0225555699745597
"259",82282,2,1,0.0225555699745597
"260",115053,5,10,0.325174566221368
"261",106861,2,1,0.0225555699745597
"262",74096,5,10,0.325174566221368
"263",115059,5,10,0.325174566221368
"264",90483,2,1,0.0225555699745597
"265",98677,2,1,0.0225555699745597
"266",115061,7,21,0.338873066475602
"267",115060,5,10,0.325174566221368
"268",74103,3,3,0.117283656975405
"269",98680,2,1,0.0225555699745597
"270",90491,2,1,0.0225555699745597
"271",90490,2,1,0.0225555699745597
"272",115069,7,21,0.338873066475602
"273",115068,2,1,0.0225555699745597
"274",106879,9,36,0.0368479974634529
"275",98686,2,1,0.0225555699745597
"276",74112,3,3,0.117283656975405
"277",115075,7,21,0.338873066475602
"278",82309,2,1,0.0225555699745597
"279",115076,7,21,0.338873066475602
"280",98697,2,1,0.0225555699745597
