InsiderID, NodeCount, EdgeCount
115374,2,1
90798,2,1
98993,3,3
98994,3,3
98999,2,1
74425,2,1
90811,2,1
107195,2,1
74426,3,3
99002,2,1
90812,2,1
107196,2,1
115399,2,1
115400,2,1
115403,2,1
107211,2,1
115405,2,1
82637,4,6
115404,2,1
107212,2,1
82639,4,6
115406,2,1
82638,4,6
99025,6,12
82641,2,1
82640,4,6
115411,2,1
82642,2,1
115413,2,1
115415,2,1
90839,2,1
115416,2,1
90842,5,10
107229,2,1
90845,3,3
90844,5,10
115424,2,1
115427,2,1
115426,5,10
99045,2,1
82661,2,1
82660,2,1
115433,5,10
90859,2,1
115435,5,10
82666,2,1
115434,5,10
115436,5,10
82673,2,1
90867,7,12
82678,2,1
99065,2,1
82680,2,1
90875,3,3
99067,2,1
115450,5,10
115453,2,1
74495,2,1
90879,3,3
74494,2,1
99074,3,3
99077,3,3
115461,5,10
115460,5,10
115463,5,10
115462,5,10
115466,2,1
90893,2,1
115469,2,1
99084,3,3
115474,2,1
115479,3,3
82711,2,1
99097,9,36
99101,9,36
99103,8,24
99102,8,24
99105,9,36
99104,9,36
99107,9,36
115491,2,1
99106,9,36
115490,2,1
115493,2,1
99108,9,36
115492,2,1
115495,2,1
115494,2,1
99113,9,36
115496,2,1
115498,2,1
90925,2,1
115502,2,1
90929,3,3
74545,2,1
74544,2,1
74547,4,6
99125,7,21
90935,2,1
99127,7,21
115511,2,1
99128,7,21
115514,2,1
99133,7,21
115517,2,1
99132,7,21
115516,2,1
99135,7,21
99134,7,21
115523,6,15
115525,6,15
99140,2,1
74567,2,1
115527,6,15
99142,2,1
74569,2,1
115528,6,15
107339,2,1
90954,5,10
115530,2,1
107338,3,3
74573,2,1
107340,2,1
74574,2,1
74576,4,6
115536,2,1
99155,2,1
74579,4,6
115539,2,1
107346,2,1
99154,2,1
90965,6,15
99163,3,3
99162,3,3
107357,2,1
99165,2,1
107356,2,1
82783,2,1
99166,14,91
90974,3,3
99169,14,91
115553,2,1
99168,14,91
115552,2,1
82784,3,3
82787,3,3
99170,3,3
115557,2,1
115556,2,1
107367,2,1
90983,2,1
99174,2,1
90982,2,1
107368,2,1
99179,2,1
