InsiderId, transactionPrice, Date, Ratio
105478,56.98,2011-10-31,1.934366196020628E-5
105478,61.15,2015-03-31,-4.569731039822264E-5
105478,64.27,2015-08-31,-1.656148468260119E-5
120840,16.6,2015-05-07,20.27314229707771
120840,11.4,2012-05-10,0.6698292935961521
120840,12.72,2013-05-03,-0.9090909090909091
120840,10.7,2011-05-05,-0.10674759014637629
120840,16.27,2015-12-08,-0.17655914472927922
120840,11.99,2012-08-23,0.34974622250743836
120840,16.64,2015-09-03,0.056978306980630326
120840,13.47,2013-08-30,0.10234736417428726
120840,10.25,2012-01-30,0.4885605338417541
120840,12.5,2013-04-17,-0.15138511988224568
120840,14.99,2014-08-01,-0.6520027663359532
120840,11.48,2012-05-14,-0.32009121641375693
120840,13.5,2013-08-28,-0.3659963436928702
120840,11.3,2012-05-15,-0.09796238244514106
120840,17.49,2015-05-01,0.49251030069155793
120840,10.69,2011-05-06,0.6023203194321206
120840,14.9,2016-01-22,0.14302748431497253
120840,14.9,2014-08-04,-0.45371774493145517
120840,13.83,2013-07-31,0.49539085908941927
120840,11.95,2012-08-20,-0.1876396128071482
120840,11.5,2012-05-11,-0.3125
120840,12.41,2013-04-11,0.34821215339233036
120840,10.22,2012-01-24,0.43038340257620383
120840,11.83,2012-11-07,-0.47987832780925904
120840,10.49,2012-01-26,-0.7849293563579278
120840,11.9,2012-11-08,-0.9234303215926493
120840,11.98,2012-08-21,0.5300029131617557
120840,15.46,2014-09-03,-0.18549076201863682
120840,13.25,2013-07-16,-0.5791083916083916
120840,11.38,2012-12-05,0.810646683062435
120840,12.0,2012-09-07,0.4066909702177943
120840,15.0,2015-02-04,0.5475801520447555
120840,10.7,2011-05-11,-0.42179261862917405
120840,13.5,2013-09-05,-0.8416114790286976
120840,11.99,2012-08-21,-0.0757346258709482
120840,14.97,2014-10-30,-0.4056906721091186
120840,15.5,2014-05-05,-0.2204906272085434
120840,14.5,2014-10-14,-0.5802730696798494
120840,12.35,2013-04-19,0.3929847750526264
120840,14.76,2014-12-03,-0.47733187234625396
120840,10.69,2011-05-05,0.7850564050889702
120840,11.1,2012-04-30,0.6926348578788151
120840,13.0,2013-05-06,-0.7676430115981915
120840,16.75,2015-09-08,-0.025610514817249394
120840,15.0,2014-07-21,-0.17351712266966504
120840,10.0,2011-06-15,-0.4987537390944377
120840,16.75,2015-09-04,0.3847578868510041
120840,12.74,2013-04-16,0.26471104628391606
120840,10.5,2012-02-01,-0.5974144486692016
120840,15.13,2014-05-05,0.004891529603614753
120840,9.39,2011-08-26,0.24761156364461015
120840,10.5,2011-05-04,-0.1078167115902965
120840,10.19,2011-11-17,0.6170415224913495
120840,14.96,2015-03-11,-0.5069538208963168
120840,16.35,2015-12-08,-0.6322148434391222
120840,11.99,2012-08-22,-0.3442340791738382
120840,12.75,2013-04-23,-0.17167908881373115
120840,11.5,2010-04-22,-0.1702583781927147
120840,11.99,2012-08-29,0.17688732581933314
120840,11.15,2012-05-01,0.1781268866778005
120840,16.67,2015-08-31,0.2170548388985374
120840,11.4,2012-06-01,0.6946456163923413
120840,10.16,2011-06-07,1.0285066407515389
120840,10.24,2011-11-18,1.3774646890155404
120840,16.75,2015-06-09,-0.4654286111239754
120840,11.95,2012-08-15,-0.5646365422396856
75787,24.17,2012-07-02,-3.2009730958211295E-5
75787,33.34,2014-12-31,-4.934616333580064E-5
75787,22.42,2012-12-31,-5.3276505061267984E-5
75787,22.41,2013-04-01,-3.7815761609438814E-5
75787,18.25,2011-10-03,-3.685616880125311E-5
75787,25.3,2011-04-01,-9.77230528681716E-5
75787,31.91,2014-04-01,-3.618010456050218E-5
75787,24.09,2012-10-01,-5.746796161140164E-5
